Game ID,Team 1 Name,Team 2 Name,Date,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11
g_1_Mc7h0M91,Leicester,Everton,29/10/2017,Benjamin Chilwell,Christian Fuchs,Demarai Gray,Vicente Iborra,Harry Maguire,Riyad Mahrez,Wes Morgan,Wilfred Ndidi,Kasper Schmeichel,Danny Simpson,Jamie Vardy,Leighton Baines,Dominic Calvert-Lewin,Tom Davies,Idrissa Gueye,Phil Jagielka,Jonjoe Kenny,Aaron Lennon,Kevin Mirallas,Jordan Pickford,Wayne Rooney,Ashley Williams
g_1_W8Eu3OPr,Brighton,Southampton,29/10/2017,Gaetan Bong,Shane Duffy,Lewis Dunk,Pascal Gross,Jose Izquierdo,Anthony Knockaert,Glenn Murray,Davy Propper,Mathew Ryan,Bruno Saltor,Dale Stephens,Ryan Bertrand,Sofiane Boufal,Steven Davis,Fraser Forster,Manolo Gabbiadini,Wesley Hoedt,Oriol Romeu,Cedric Soares,Dusan Tadic,Virgil van Dijk,James Ward-Prowse
g_1_lp9p2ruk,Burnley,Newcastle,30/10/2017,Ashley Barnes,Robbie Brady,Jack Cork,Steven Defour,Johann Gudmundsson,Jeff Hendrick,Matthew Lowton,Ben Mee,Nick Pope,James Tarkowski,Stephen Ward,Christian Atsu,Mohamed Diame,Rob Elliot,Joselu,Jamaal Lascelles,Florian Lejeune,Javier Manquillo,Ayoze Perez,Matt Ritchie,Jonjo Shelvey,Deandre Yedlin
g_1_nBgIZM0K,West Ham,Liverpool,04/11/2017,Andre Ayew,Chicharito,Aaron Cresswell,Edimilson Fernandes,Joe Hart,Cheikhou Kouyate,Manuel Lanzini,Mark Noble,Pedro Obiang,Angelo Ogbonna,Winston Reid,Emre Can,Roberto Firmino,Joe Gomez,Ragnar Klavan,Sadio Mane,Joel Matip,Simon Mignolet,Alberto Moreno,Alex Oxlade-Chamberlain,Mohamed Salah,Georginio Wijnaldum
g_1_SlmNF19l,Huddersfield,West Brom,04/11/2017,Laurent Depoitre,Florent Hadergjonaj,Jonathan Hogg,Tom Ince,Mathias Jorgensen,Elias Kachunga,Jonas Lossl,Scott Malone,Aaron Mooy,Christopher Schindler,Rajiv van La Parra,Gareth Barry,Jonny Evans,Ben Foster,Kieran Gibbs,Ahmed Hegazy,Grzegorz Krychowiak,Jake Livermore,Gareth Mcauley,Allan Nyom,Hal Robson-Kanu,Jay Rodriguez
g_1_02oVDuv1,Newcastle,Bournemouth,04/11/2017,Christian Atsu,Rob Elliot,Dwight Gayle,Isaac Hayden,Joselu,Jamaal Lascelles,Florian Lejeune,Javier Manquillo,Matt Ritchie,Jonjo Shelvey,Deandre Yedlin,Nathan Ake,Harry Arter,Asmir Begovic,Steve Cook,Charlie Daniels,Simon Francis,Jordon Ibe,Joshua King,Marc Pugh,Andrew Surman,Callum Wilson
g_1_tE2SCag7,Southampton,Burnley,04/11/2017,Ryan Bertrand,Sofiane Boufal,Steven Davis,Fraser Forster,Manolo Gabbiadini,Nathan Redmond,Oriol Romeu,Cedric Soares,Dusan Tadic,Virgil van Dijk,Maya Yoshida,Robbie Brady,Jack Cork,Steven Defour,Johann Gudmundsson,Jeff Hendrick,Matthew Lowton,Ben Mee,Nick Pope,James Tarkowski,Stephen Ward,Chris Wood
g_1_tW7OwrGD,Swansea,Brighton,04/11/2017,Tammy Abraham,Jordan Ayew,Thomas Carroll,Sam Clucas,Nathan Dyer,Lukasz Fabianski,Leroy Fer,Federico Fernandez,Ki Sung-yueng,Alfie Mawson,Kyle Naughton,Gaetan Bong,Shane Duffy,Lewis Dunk,Pascal Gross,Jose Izquierdo,Anthony Knockaert,Glenn Murray,Davy Propper,Mathew Ryan,Bruno Saltor,Dale Stephens
g_1_K41WBJ8D,Stoke,Leicester,04/11/2017,Joe Allen,Jack Butland,Eric Maxim Choupo-Moting,Mame Diouf,Darren Fletcher,Erik Pieters,Xherdan Shaqiri,Ryan Shawcross,Ramadan Sobhi,Kevin Wimmer,Kurt Zouma,Christian Fuchs,Demarai Gray,Vicente Iborra,Harry Maguire,Riyad Mahrez,Wes Morgan,Wilfred Ndidi,Shinji Okazaki,Kasper Schmeichel,Danny Simpson,Jamie Vardy
g_1_846jLNoR,Chelsea,Manchester United,05/11/2017,Marcos Alonso,Cesar Azpilicueta,Tiemoue Bakayoko,Gary Cahill,Andreas Christensen,Thibaut Courtois,Cesc Fabregas,Eden Hazard,N'Golo Kanté,Alvaro Morata,Davide Zappacosta,Eric Bailly,David de Gea,Ander Herrera,Phil Jones,Romelu Lukaku,Nemanja Matic,Henrikh Mkhitaryan,Marcus Rashford,Chris Smalling,Luis Valencia,Ashley Young
